fpl_hostname,fpl_name,fpl_controvflag,fpl_disc,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,ra_str,ra,dec_str,dec,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
11 Com,11 Com b,0,2007,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,6165.6,476.7,-476.7,0,Msini,12.1,,,0,19.1,,,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0,4742,100,-100,0,2.31,0.1,-0.1,0,2.243,0.071,-0.085,0,2.7,0.3,-0.3,0,19,2,-2,0,,,,
11 UMi,11 UMi b,0,2009,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,0.08,0.03,-0.03,0,4684.8142,794.575,-794.575,0,Msini,12.3,,,0,13.8,,,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0,4213,46,-46,0,1.93,0.07,-0.07,0,2.43,0.008,-0.008,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,1.56,0.54,-0.54,0
14 And,14 And b,0,2008,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,1525.5,,,0,Msini,12.9,,,0,3.9,,,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0,4813,20,-20,0,2.63,0.07,-0.07,0,1.763,,,0,2.2,0.1,-0.2,0,11,1,-1,0,4.5,1.9,-1.9,0
14 Her,14 Her b,0,2002,1773.40002,2.5,-2.5,0,2.93,0.08,-0.08,0,0.37,0,0,0,1481.0878,47.6745,-47.6745,0,Msini,12.9,,,0,3.79,,,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0,5338,25,-25,0,4.45,0.02,-0.02,0,-0.151,0,0,0,0.9,0.04,-0.04,0,0.93,0.01,-0.01,0,5.24,,,0
16 Cyg B,16 Cyg B b,0,1996,798.5,1,-1,0,1.66,0.03,-0.03,0,0.68,0.02,-0.02,0,565.7374,25.4264,-25.4264,0,Msini,13.5,,,0,1.26,,,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,0,5750,8,-8,0,4.36,0.01,-0.01,0,0.1,0,0,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,7.4,0.1,-0.1,0
18 Del,18 Del b,0,2008,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,3273.5,,,0,Msini,12.5,,,0,9.21,,,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0,4979,18,-18,0,2.82,0.06,-0.06,0,1.602,,,0,2.3,,,0,8.5,,,0,1.1,0.1,-0.1,0
1RXS J160929.1-210524,1RXS J160929.1-210524 b,0,2008,,,,,330,,,0,,,,,3000,300,-300,0,Mass,18.647,,,0,2.54,,,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,14,-14,0,4060,300,-200,0,,,,,-0.37,0.15,-0.15,0,0.85,0.2,-0.1,0,1.18,0.11,-0.14,0,0.005,,,0
24 Boo,24 Boo b,0,2018,30.3506,0.0078,-0.0077,0,0.19,0.012,-0.009,0,0.042,0.048,-0.029,0,289.2253,41.3179,-31.783,0,Msini,13.9,,,0,0.592,,,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0,4893,15,-15,0,2.42,0.1,-0.1,0,1.774,0.047,-0.053,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,6.92,4.83,-2.75,0
24 Sex,24 Sex b,0,2010,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,632.46,82.63,-120.77,0,Msini,13.4,,,0,1.44,,,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,5098,44,-44,0,3.5,0.1,-0.1,0,1.164,0.003,-0.003,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,2.7,0.4,-0.4,0
24 Sex,24 Sex c,0,2010,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,273.32,111.24,-69.92,0,Msini,13.9,,,0,0.559,,,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,5098,44,-44,0,3.5,0.1,-0.1,0,1.164,0.003,-0.003,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,2.7,0.4,-0.4,0
